Income,Credit_Score,Employment_Status,Loan_Amount,Repayment_History,Age,Loan_Status
31602,787,Salaried,42846,3,48,Approved
120615,687,Self-Employed,58515,8,60,Approved
105094,724,Self-Employed,81773,6,58,Approved
77054,676,Self-Employed,39969,5,25,Approved
76292,667,Salaried,78296,1,47,Approved
131618,622,Salaried,64485,6,38,Approved
31173,712,Salaried,32722,1,56,Approved
110658,616,Salaried,91660,3,43,Approved
46191,730,Salaried,46253,4,65,Approved
32243,761,Salaried,19344,1,40,Approved
88442,707,Salaried,96457,4,51,Approved
146831,659,Salaried,91777,2,25,Approved
115648,714,Self-Employed,9706,9,62,Approved
118948,657,Salaried,90737,9,27,Approved
113272,750,Salaried,95001,0,38,Approved
122189,543,Self-Employed,83764,6,58,Approved
86719,655,Self-Employed,29224,7,64,Approved
36654,531,Self-Employed,64972,4,42,Rejected
129168,568,Salaried,56133,5,42,Rejected
78550,782,Self-Employed,63914,8,23,Approved
85046,747,Salaried,63562,4,65,Approved
68204,626,Salaried,65725,0,21,Rejected
43731,567,Salaried,53830,4,22,Approved
140480,458,Salaried,70597,2,42,Rejected
121604,639,Salaried,55028,4,21,Approved
103703,850,Salaried,6565,2,28,Approved
72314,713,Self-Employed,8351,1,49,Rejected
126959,638,Salaried,96019,10,52,Approved
90906,715,Salaried,91379,1,34,Approved
77644,563,Salaried,60632,7,56,Rejected
78560,658,Salaried,21586,7,48,Approved
49541,687,Salaried,79240,6,31,Approved
31977,674,Salaried,18612,10,53,Approved
92096,739,Salaried,40842,0,47,Approved
135426,706,Self-Employed,36337,3,57,Approved
28296,730,Unemployed,6177,2,27,Rejected
131578,628,Salaried,81666,6,31,Approved
127592,747,Self-Employed,53425,6,34,Approved
55979,802,Self-Employed,35044,9,36,Approved
102117,607,Unemployed,53183,4,60,Rejected
41479,613,Self-Employed,5000,2,53,Rejected
118552,780,Self-Employed,46514,10,45,Approved
111068,666,Unemployed,54360,7,45,Approved
66088,785,Self-Employed,37273,8,60,Approved
28829,647,Salaried,83886,4,41,Approved
146191,789,Salaried,28733,4,31,Approved
77939,690,Salaried,18093,4,27,Approved
136106,699,Salaried,55117,8,35,Approved
108130,797,Salaried,89292,2,50,Approved
121190,653,Salaried,40651,10,42,Approved
118787,609,Salaried,9429,1,39,Approved
45303,646,Salaried,97144,5,42,Approved
67308,714,Self-Employed,47208,3,64,Approved
80674,563,Salaried,21428,7,65,Approved
84713,728,Salaried,63484,7,28,Approved
25694,640,Self-Employed,35368,10,26,Approved
91054,766,Self-Employed,94091,8,31,Approved
40057,500,Unemployed,32926,2,59,Rejected
116639,621,Self-Employed,57263,2,41,Approved
108797,554,Self-Employed,56614,9,59,Approved
139929,618,Salaried,28032,5,50,Approved
116819,699,Salaried,52432,1,45,Approved
67663,667,Salaried,15361,9,33,Approved
145777,661,Self-Employed,66155,7,36,Approved
73410,668,Unemployed,77040,0,27,Rejected
62357,695,Salaried,95251,8,44,Approved
137720,604,Salaried,35949,6,33,Approved
68160,733,Salaried,32096,6,34,Approved
29924,730,Salaried,57137,9,22,Approved
81042,709,Salaried,70813,5,56,Approved
123439,722,Salaried,99285,5,63,Approved
44631,702,Unemployed,7378,6,43,Approved
80182,833,Salaried,27639,2,45,Approved
36889,673,Self-Employed,29927,1,62,Rejected
109242,657,Self-Employed,29261,9,44,Approved
81842,623,Salaried,49053,2,49,Approved
62925,603,Salaried,87927,5,40,Rejected
49498,587,Self-Employed,7944,2,44,Rejected
93385,613,Salaried,82505,2,44,Approved
107076,675,Unemployed,63679,6,52,Rejected
142240,705,Salaried,63444,8,48,Approved
76830,684,Self-Employed,69440,4,43,Approved
40889,623,Self-Employed,15963,1,24,Rejected
128248,748,Salaried,75940,2,61,Approved
101869,735,Salaried,28572,1,60,Approved
111035,668,Unemployed,54075,9,29,Approved
32639,631,Salaried,69304,3,34,Rejected
60607,721,Salaried,62375,4,64,Approved
119820,694,Salaried,35697,0,35,Approved
128194,571,Salaried,42626,4,57,Approved
76578,675,Self-Employed,50269,10,56,Approved
124620,700,Self-Employed,8919,4,59,Approved
129420,613,Salaried,73974,7,21,Approved
70372,694,Self-Employed,14495,2,42,Rejected
136752,571,Salaried,48565,1,46,Rejected
57482,780,Salaried,67225,8,58,Approved
51142,774,Salaried,12637,0,31,Rejected
108725,661,Unemployed,99578,4,34,Rejected
102779,707,Salaried,40836,3,29,Approved
38167,499,Salaried,6501,0,55,Rejected
128256,593,Salaried,67570,5,65,Approved
45988,658,Self-Employed,57970,10,27,Approved
124637,600,Salaried,65832,0,31,Rejected
20957,734,Salaried,76346,8,34,Approved
123590,830,Self-Employed,50185,5,61,Approved
122300,592,Salaried,83544,7,41,Approved
121448,617,Salaried,40164,1,33,Approved
106431,698,Salaried,56795,9,35,Approved
81304,801,Salaried,20059,0,47,Approved
111672,588,Salaried,63892,9,38,Approved
56026,699,Self-Employed,29851,7,27,Approved
121495,817,Self-Employed,71189,3,57,Approved
92234,556,Self-Employed,81100,0,40,Rejected
79659,584,Unemployed,86602,6,32,Rejected
85729,648,Salaried,93263,0,53,Rejected
93936,641,Salaried,16617,6,54,Approved
24844,741,Unemployed,18109,8,27,Approved
38173,698,Salaried,92988,2,24,Rejected
51912,547,Self-Employed,41179,2,23,Rejected
34889,719,Self-Employed,7471,2,55,Approved
77150,637,Salaried,32264,2,49,Approved
106893,776,Salaried,84439,1,56,Approved
105076,633,Salaried,38724,2,49,Approved
81242,632,Salaried,12290,7,39,Approved
131161,721,Salaried,73601,3,47,Approved
93481,737,Salaried,23489,8,53,Approved
30295,714,Self-Employed,38516,9,38,Approved
